ID,ESTADO,FECHA_INSTALACION,MODELO,tipo_juego,ACCESIBLE,indicadorExposicion,ultimaFechaMantenimiento,desgasteAcumulado,AreaRecreativaID
22288,OPERATIVO,2007-08-20,ELEFANTE,infantiles,False,alto,2024-03-25,1000,17759
22283,OPERATIVO,2011-06-02,JMC-46,infantiles,False,bajo,2024-09-05,200,17744
22281,OPERATIVO,2011-06-02,ELEFANTE,infantiles,True,alto,Ausente,300,17743
22267,OPERATIVO,2007-01-08,ACERO,infantiles,False,alto,Ausente,1500,17692
22253,OPERATIVO,2003-01-01,ELEFANTE,infantiles,False,bajo,Ausente,1100,17652
22250,OPERATIVO,2007-01-01,TOBOGAN,infantiles,False,medio,2024-07-31,2300,17645
22224,OPERATIVO,2003-01-01,ACERO,infantiles,False,alto,2024-05-26,1900,17538
22216,OPERATIVO,2003-01-01,GATO,infantiles,False,medio,2024-02-02,0,17496
22199,OPERATIVO,2010-06-25,ELEFANTE,infantiles,True,alto,Ausente,3900,17406
22187,OPERATIVO,2005-01-17,Tobogan Autoportante en Area Infantil,infantiles,False,bajo,2024-04-03,1300,17360
22185,OPERATIVO,2007-02-13,GUSANO,infantiles,False,medio,Ausente,200,17355
22181,OPERATIVO,2004-12-10,Tobogan Autoportante en Area Infantil,infantiles,True,medio,2023-12-02,2300,17344
22168,OPERATIVO,2006-08-17,ELEFANTE,infantiles,True,bajo,2024-06-12,600,17308
22158,OPERATIVO,2006-01-24,Tobogan Autoportante en Area Infantil,infantiles,True,bajo,2024-06-20,100,17282
22146,OPERATIVO,2007-09-28,1036 · ELEFANTE,infantiles,False,bajo,2024-01-30,300,17254
22131,OPERATIVO,2006-01-16,1036 · ELEFANTE,infantiles,True,bajo,2024-09-04,1400,17212
22129,OPERATIVO,2006-02-02,1036 · ELEFANTE,infantiles,True,alto,2024-08-19,1600,17206
22124,OPERATIVO,2006-01-16,1036 · ELEFANTE,infantiles,False,bajo,2024-10-10,0,17194
22116,OPERATIVO,2009-03-12,0325 · JMC-04,infantiles,False,bajo,2024-03-18,1200,17173
22089,OPERATIVO,2006-05-09,1036 · ELEFANTE,infantiles,True,alto,2024-11-02,2700,17091
22084,OPERATIVO,2007-04-11,Tobogan Autoportante en Area Infantil,infantiles,True,bajo,2024-06-30,200,17074
